REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
gran_lider	 gran_lider_5_1_decoded	 SQValue=3.578	 3.578	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_2_decoded	 SQValue=3.660	 3.660	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_3_decoded	 SQValue=3.721	 3.721	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_4_decoded	 SQValue=3.428	 3.428	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_5_decoded	 SQValue=3.574	 3.574	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_6_decoded	 SQValue=3.603	 3.603	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_7_decoded	 SQValue=3.540	 3.540	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_8_decoded	 SQValue=3.367	 3.367	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_9_decoded	 SQValue=3.324	 3.324	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_10_decoded	 SQValue=3.720	 3.720	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_11_decoded	 SQValue=3.445	 3.445	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_12_decoded	 SQValue=3.646	 3.646	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_13_decoded	 SQValue=3.500	 3.500	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_14_decoded	 SQValue=3.586	 3.586	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_15_decoded	 SQValue=3.501	 3.501	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_16_decoded	 SQValue=3.702	 3.702	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_17_decoded	 SQValue=3.403	 3.403	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_18_decoded	 SQValue=3.388	 3.388	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_19_decoded	 SQValue=3.571	 3.571	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_20_decoded	 SQValue=3.576	 3.576	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_21_decoded	 SQValue=3.587	 3.587	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_22_decoded	 SQValue=3.704	 3.704	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_23_decoded	 SQValue=3.574	 3.574	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_24_decoded	 SQValue=3.510	 3.510	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_25_decoded	 SQValue=3.758	 3.758	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_26_decoded	 SQValue=3.530	 3.530	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_27_decoded	 SQValue=3.490	 3.490	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_28_decoded	 SQValue=3.354	 3.354	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_29_decoded	 SQValue=3.408	 3.408	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_30_decoded	 SQValue=3.591	 3.591	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_31_decoded	 SQValue=3.572	 3.572	 0.000	 0	 8000	0.0040
 gran_lider	 gran_lider_5_32_decoded	 SQValue=1.480	 1.480	 0.000	 0	 8000	0.0040
